Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
airfoil,1,10.9877803,7.131557539985332,7.388981487598799,3,3,3,myexp(myexp(1.571))
airfoil,2,43.6164894,6.051467308353095,6.231404198541312,35,35,10,"-(+(mysquare(3.142), -(+(10.0, -(+(100.0, 10.0), +(mysqrt(Angle of attack(degrees)), +(myexp(myexp(Chord length(m))), -(mydiv(10.0, -1.0), -(-1.0, Chord length(m))))))), mysquare(mysquare(myexp(Chord length(m)))))), -(3.142, mylog(mydiv(Free-stream velocity(m/s), Frequency(Hz)))))"
airfoil,3,25.146709399,6.815615225997729,7.0423633196071025,19,19,9,"mydiv(+(myprod(-3.142, 1.571), -(-10.0, mydiv(+(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), -(-10.0, 100.0)))), -1.0))), -1.0)"
airfoil,4,42.7215422,4.806373681298715,4.802129966603273,37,37,10,"mysquare(+(-(-10.0, -(1.571, myprod(Suction side displacement thickness(m), myexp(-(1.571, Chord length(m)))))), mysqrt(mydiv(-(1.571, myprod(myprod(myprod(mydiv(-100.0, -1.0), -(0.0, Suction side displacement thickness(m))), mysquare(mydiv(Chord length(m), 1.571))), myprod(1.0, -(-(Frequency(Hz), 100.0), 100.0)))), 100.0))))"
airfoil,5,38.346980299,6.57706287881874,6.7911941963102,28,28,10,"myprod(mysqrt(mysquare(mylog(3.142))), myprod(+(mysqrt(myexp(mylog(mydiv(myprod(1.0, -1.0), -(-10.0, +(Frequency(Hz), 100.0)))))), mysqrt(mysqrt(mysquare(mysqrt(mysquare(mylog(3.142))))))), mysquare(10.0)))"
airfoil,6,55.8032452,5.665456240168073,5.7180972112324255,39,39,10,"+(mylog(myprod(mydiv(myprod(mydiv(myexp(-(10.0, -10.0)), Chord length(m)), mydiv(mydiv(myexp(10.0), Frequency(Hz)), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), Chord length(m))))), -(10.0, mydiv(10.0, mydiv(-10.0, mydiv(Angle of attack(degrees), mydiv(Free-stream velocity(m/s), Frequency(Hz))))))), mydiv(myexp(10.0), Frequency(Hz)))), myprod(10.0, 10.0))"
airfoil,7,59.3514193,6.335440478173725,6.351145328095093,42,42,9,"+(mydiv(myexp(mydiv(-3.142, myprod(-(myprod(-3.142, Suction side displacement thickness(m)), +(Suction side displacement thickness(m), -(Suction side displacement thickness(m), 1.571))), 1.571))), myexp(mydiv(-3.142, mylog(mylog(mysqrt(Frequency(Hz))))))), +(mydiv(-(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), -(Suction side displacement thickness(m), mydiv(10.0, 10.0))))), myexp(mydiv(-3.142, myexp(Suction side displacement thickness(m))))), 100.0))"
airfoil,8,12.361965199,5.642263368552802,5.650929906523913,14,14,7,"+(1.571, +(1.571, +(+(myexp(3.142), mydiv(Suction side displacement thickness(m), mydiv(-10.0, Frequency(Hz)))), 100.0)))"
airfoil,9,36.3861637,5.930601288644025,6.105082443867267,31,31,10,"myexp(mysqrt(mylog(mysquare(+(+(myprod(mydiv(1.571, Suction side displacement thickness(m)), 10.0), +(10.0, mydiv(-(Frequency(Hz), 100.0), -1.0))), -(myprod(myprod(mylog(100.0), mydiv(-3.142, -3.142)), mysquare(myprod(1.571, -100.0))), Frequency(Hz)))))))"
airfoil,10,54.503266001,5.239016674734819,5.333493681937003,43,43,10,"+(mylog(100.0), +(+(100.0, +(-1.0, +(+(mysqrt(mysqrt(mylog(10.0))), mydiv(mylog(Suction side displacement thickness(m)), -1.0)), mydiv(mylog(Suction side displacement thickness(m)), -1.0)))), +(0.0, +(mysquare(-(3.142, Chord length(m))), mydiv(-(mysqrt(Free-stream velocity(m/s)), mydiv(-(Suction side displacement thickness(m), Frequency(Hz)), -(100.0, mydiv(100.0, Chord length(m))))), 3.142)))))"
airfoil,11,32.8790454,6.1465840187743925,6.32548836386036,32,32,10,"-(100.0, -(1.0, myprod(-(-(Chord length(m), -(+(-(1.571, +(Chord length(m), -10.0)), mydiv(mylog(Frequency(Hz)), myprod(3.142, -3.142))), mylog(Frequency(Hz)))), mysquare(-(-(myexp(1.571), Chord length(m)), myexp(Suction side displacement thickness(m))))), -1.571)))"
airfoil,12,60.931586599,5.054777718945834,5.045110582808917,44,44,9,"+(mydiv(Chord length(m), mydiv(+(myexp(mysqrt(mysqrt(myexp(-100.0)))), -(mydiv(Chord length(m), mydiv(Chord length(m), mydiv(1.0, 3.142))), myexp(1.0))), +(mydiv(mysquare(Angle of attack(degrees)), 1.571), +(-10.0, mysqrt(Frequency(Hz)))))), +(3.142, +(myexp(mydiv(Chord length(m), mydiv(1.0, 3.142))), +(3.142, +(myexp(3.142), 100.0)))))"
airfoil,13,49.582655601,5.9084963269683035,5.897526762815119,57,57,10,"+(+(+(+(+(+(+(-(10.0, -100.0), 0.0), mydiv(mylog(1.571), -100.0)), mydiv(Chord length(m), -(Angle of attack(degrees), 3.142))), mylog(mysquare(mydiv(mydiv(mylog(1.571), mysqrt(Chord length(m))), Suction side displacement thickness(m))))), mydiv(1.571, mysqrt(mydiv(Frequency(Hz), -(10.0, -100.0))))), mydiv(mylog(1.571), mysqrt(Chord length(m)))), mysquare(-(+(mydiv(-3.142, mysqrt(mydiv(Frequency(Hz), -(10.0, -100.0)))), mysqrt(0.0)), mysqrt(Chord length(m)))))"
airfoil,14,59.6426941,5.366814437423482,5.209371118854667,53,53,10,"-(10.0, -(mydiv(-100.0, -(10.0, myprod(myprod(+(myexp(+(-1.0, Chord length(m))), mylog(myprod(3.142, Suction side displacement thickness(m)))), mydiv(-100.0, mysqrt(Frequency(Hz)))), 10.0))), -(-(10.0, -(mydiv(-100.0, mysqrt(Frequency(Hz))), mysquare(10.0))), -(+(myexp(Suction side displacement thickness(m)), mylog(myprod(3.142, Suction side displacement thickness(m)))), -(+(myprod(-3.142, myprod(10.0, Chord length(m))), Chord length(m)), +(0.0, mylog(Suction side displacement thickness(m))))))))"
airfoil,15,21.3914598,6.719065181670763,6.918211043034987,11,11,8,"mysquare(myprod(10.0, mylog(+(mylog(-(100.0, mylog(Chord length(m)))), -1.571))))"
airfoil,16,29.704836001,5.001178057584293,5.671245406696789,24,24,10,"mysqrt(mysqrt(mysquare(myprod(myprod(-(100.0, +(myprod(myprod(Frequency(Hz), Suction side displacement thickness(m)), Chord length(m)), -3.142)), -1.571), -(100.0, +(myprod(myprod(Frequency(Hz), Suction side displacement thickness(m)), Chord length(m)), -1.571))))))"
airfoil,17,49.172102699,6.3327182372706625,6.235310356011301,43,43,9,"+(-(-10.0, -(-(-3.142, +(-(myexp(-(1.0, Chord length(m))), Chord length(m)), -(-(myprod(-100.0, Suction side displacement thickness(m)), Chord length(m)), Chord length(m)))), 10.0)), +(10.0, +(10.0, +(+(-(myexp(-(1.0, Chord length(m))), Chord length(m)), -(-(myprod(-100.0, Suction side displacement thickness(m)), Chord length(m)), Chord length(m))), -(0.0, -100.0)))))"
airfoil,18,34.4875244,5.7083771396112395,5.746959546838973,43,43,10,"+(myprod(+(-(-(-(-(myprod(-10.0, -3.142), Chord length(m)), Chord length(m)), Chord length(m)), mydiv(mysqrt(Suction side displacement thickness(m)), myexp(-1.571))), 10.0), 3.142), -(myexp(myprod(mydiv(Chord length(m), mylog(myexp(mydiv(3.142, mydiv(-10.0, Free-stream velocity(m/s)))))), mysqrt(Frequency(Hz)))), mysqrt(myprod(mydiv(mysqrt(Suction side displacement thickness(m)), myexp(-1.571)), mysqrt(Frequency(Hz))))))"
airfoil,19,40.5880281,5.124403199951298,5.332112714471104,38,38,10,"mysqrt(myprod(-(mysqrt(mysquare(-(mylog(Suction side displacement thickness(m)), 100.0))), myprod(myprod(Suction side displacement thickness(m), Frequency(Hz)), Chord length(m))), mysqrt(+(+(+(myexp(10.0), 0.0), -(0.0, +(mysqrt(Frequency(Hz)), Free-stream velocity(m/s)))), mysquare(+(-(0.0, +(mysqrt(Frequency(Hz)), mydiv(Free-stream velocity(m/s), -3.142))), Free-stream velocity(m/s)))))))"
airfoil,20,41.511367601,6.636567976553975,6.9417649639398435,27,27,10,"myprod(100.0, myexp(myexp(+(mydiv(myprod(myexp(-(mysqrt(Free-stream velocity(m/s)), mylog(100.0))), myprod(-(-3.142, -100.0), mysqrt(myexp(-10.0)))), mysquare(mylog(mysquare(-(Frequency(Hz), -10.0))))), -1.571))))"
airfoil,21,66.5825957,6.122824623763474,6.723901163131561,47,47,10,"myexp(+(+(mydiv(mysquare(mylog(mysquare(mysquare(-100.0)))), mysquare(-(+(10.0, -(10.0, -1.571)), myprod(myexp(+(Angle of attack(degrees), Chord length(m))), 100.0)))), +(mydiv(Chord length(m), -100.0), +(mydiv(Chord length(m), mydiv(mydiv(mysquare(Frequency(Hz)), Frequency(Hz)), Free-stream velocity(m/s))), +(mydiv(mysquare(Chord length(m)), -3.142), mydiv(100.0, myprod(10.0, Frequency(Hz))))))), myexp(1.571)))"
airfoil,22,11.196774201,7.0700065904727545,6.509301164446675,9,9,7,"+(myexp(mysquare(-(-1.571, mylog(mysqrt(1.571))))), 100.0)"
airfoil,23,26.3411775,5.309814466895879,5.380393915243223,36,36,9,"+(+(myexp(mysqrt(10.0)), mylog(mysquare(+(+(mydiv(-(1.0, Free-stream velocity(m/s)), myprod(Suction side displacement thickness(m), Frequency(Hz))), Chord length(m)), Chord length(m))))), +(mysquare(10.0), -(-(-(-(-(myexp(1.0), Chord length(m)), Chord length(m)), Chord length(m)), Chord length(m)), mylog(+(1.0, Free-stream velocity(m/s))))))"
airfoil,24,61.696889299,5.741161875802976,5.830348657806569,52,52,10,"+(mysquare(+(10.0, +(mysqrt(+(myexp(mysqrt(myexp(-3.142))), myprod(Suction side displacement thickness(m), -10.0))), myprod(Suction side displacement thickness(m), -3.142)))), +(-(mylog(Free-stream velocity(m/s)), mysquare(mydiv(myexp(-(Suction side displacement thickness(m), -(mydiv(100.0, Frequency(Hz)), mydiv(-3.142, -10.0)))), myexp(myprod(Chord length(m), -3.142))))), +(+(myexp(mydiv(100.0, Frequency(Hz))), myexp(mydiv(100.0, Frequency(Hz)))), myexp(myprod(Chord length(m), mylog(Free-stream velocity(m/s)))))))"
airfoil,25,16.6290458,6.518002764456723,6.678665368925753,13,13,8,"+(100.0, myprod(1.571, myprod(1.571, mysqrt(-(100.0, mysqrt(myprod(Frequency(Hz), Chord length(m))))))))"
airfoil,26,64.8114605,5.519737006452014,5.263532204462411,56,56,10,"-(mysqrt(mysquare(-(-10.0, 10.0))), -(-10.0, +(3.142, +(+(+(+(myprod(-1.0, Chord length(m)), mydiv(Free-stream velocity(m/s), 100.0)), 100.0), +(-(mydiv(Free-stream velocity(m/s), 100.0), +(Chord length(m), mysqrt(Angle of attack(degrees)))), +(myprod(-1.0, Chord length(m)), myprod(-1.0, Chord length(m))))), +(+(-1.0, +(mysquare(mydiv(Free-stream velocity(m/s), 100.0)), myprod(-1.0, Chord length(m)))), mydiv(myexp(mylog(mydiv(Frequency(Hz), 100.0))), mylog(Suction side displacement thickness(m))))))))"
airfoil,27,31.718399899,6.395416584760876,6.534699419177479,29,29,10,"+(100.0, -(+(3.142, mysquare(mydiv(mylog(-(myprod(myprod(3.142, -10.0), -3.142), 3.142)), myexp(mydiv(mysquare(myprod(Chord length(m), -100.0)), mydiv(-(-100.0, Chord length(m)), myprod(-3.142, Suction side displacement thickness(m)))))))), -3.142))"
airfoil,28,48.7422164,6.076424283919153,6.334781475585846,41,41,10,"+(+(myprod(myprod(1.571, mysquare(+(myexp(mydiv(Angle of attack(degrees), -(-100.0, 3.142))), mylog(100.0)))), mysquare(1.571)), mydiv(100.0, myprod(mysquare(mylog(mysquare(myexp(+(-10.0, -1.0))))), Chord length(m)))), mydiv(100.0, mysquare(mylog(-(Frequency(Hz), +(Angle of attack(degrees), myprod(Frequency(Hz), mysqrt(mysqrt(Chord length(m))))))))))"
airfoil,29,37.579499599,6.256783366486059,6.453322616167723,44,44,10,"-(mysqrt(myexp(10.0)), -(myexp(+(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(1.0, mysquare(-1.571)))))), -(10.0, -(-(-(myprod(-3.142, -(myexp(Chord length(m)), mysquare(1.0))), mysquare(-1.571)), myprod(-3.142, -(Chord length(m), myprod(-3.142, Chord length(m))))), myprod(-3.142, -(Chord length(m), myprod(-3.142, Chord length(m))))))))"
airfoil,30,24.5469093,6.015134996094904,6.3698294877647585,16,16,9,"-(mysqrt(myexp(mydiv(mysquare(3.142), mysqrt(myexp(mydiv(Suction side displacement thickness(m), -(Angle of attack(degrees), Chord length(m)))))))), mylog(mysquare(Frequency(Hz))))"
cars,1,24.825712299,4.604825584094899,4.78171090858639,38,38,10,"myprod(+(-(0.0, mylog(mysqrt(weight))), myexp(mysquare(mylog(mydiv(10.0, mylog(+(3.142, cylinders))))))), mylog(+(cylinders, myprod(cylinders, myexp(+(myexp(mylog(mylog(cylinders))), +(mydiv(-(-10.0, -100.0), weight), mydiv(mydiv(horsepower, -100.0), cylinders))))))))"
cars,2,23.4718977,4.012547865021647,4.757251090552264,33,33,10,"mydiv(mysquare(-(+(-1.0, -10.0), mysqrt(10.0))), +(mydiv(horsepower, mysquare(mydiv(horsepower, mydiv(acceleration, -3.142)))), mydiv(-(-3.142, -(horsepower, mydiv(horsepower, mysquare(-(mylog(horsepower), mylog(weight)))))), +(-1.0, -10.0))))"
cars,3,21.2446749,4.733655050803606,4.457810160299638,28,28,10,"mysquare(mylog(mysqrt(myprod(-(mydiv(+(100.0, acceleration), displacement), mydiv(-(+(mysquare(1.571), acceleration), -10.0), -(100.0, mylog(mydiv(cylinders, acceleration))))), myexp(mysqrt(+(100.0, acceleration)))))))"
cars,4,15.612135099,4.716753204533142,5.040858889968824,25,25,9,"mysqrt(+(+(mydiv(-(mysquare(+(acceleration, 100.0)), weight), mysquare(cylinders)), acceleration), mydiv(-(-(-(mysquare(+(acceleration, cylinders)), horsepower), cylinders), cylinders), 3.142)))"
cars,5,51.4253817,3.8856044551633815,4.584855274392426,66,66,10,"-(-(1.0, mydiv(mydiv(myprod(1.571, mysquare(100.0)), +(mydiv(-1.571, +(cylinders, -3.142)), cylinders)), +(1.571, -(-(+(myprod(3.142, 100.0), 100.0), -100.0), weight)))), +(-(+(+(mysquare(-1.571), +(mydiv(-1.571, -3.142), cylinders)), mydiv(-1.571, +(+(mydiv(displacement, -3.142), -1.571), myprod(3.142, +(myexp(-100.0), myexp(3.142)))))), myexp(3.142)), -(mysqrt(-(+(myprod(3.142, horsepower), horsepower), 100.0)), myexp(3.142))))"
cars,6,33.971087699,4.022954477359552,4.7476301566539165,46,46,10,"mydiv(+(+(-1.0, myprod(mylog(mysquare(-1.571)), +(100.0, cylinders))), mydiv(mydiv(mysquare(-(mysqrt(weight), 100.0)), myprod(-1.0, mysquare(mydiv(horsepower, mylog(cylinders))))), myprod(mydiv(mydiv(-3.142, myprod(mylog(mysquare(-1.571)), +(100.0, cylinders))), cylinders), mylog(+(-1.0, +(-1.0, +(-1.0, 100.0))))))), cylinders)"
cars,7,23.837729001,3.689310616717231,4.635085028040665,53,53,9,"+(+(mydiv(mylog(myprod(myprod(myexp(horsepower), mysquare(horsepower)), mysquare(horsepower))), -(acceleration, myexp(cylinders))), +(mydiv(mylog(myprod(myexp(mydiv(horsepower, -10.0)), mysquare(-100.0))), cylinders), +(+(mydiv(100.0, cylinders), myexp(mydiv(horsepower, -100.0))), myexp(mydiv(horsepower, -100.0))))), mylog(+(acceleration, mysquare(myprod(cylinders, myprod(myexp(mydiv(horsepower, -10.0)), mysquare(-100.0)))))))"
cars,8,45.8343476,3.9934867254915494,4.451093413267115,63,63,10,"myprod(mylog(mysquare(mysquare(mydiv(myprod(mylog(mydiv(1.571, 1.0)), +(myprod(+(10.0, -3.142), -10.0), -3.142)), +(mysquare(mylog(horsepower)), -1.0))))), -(10.0, +(myprod(mysqrt(-(displacement, -3.142)), mydiv(+(-(displacement, horsepower), mysquare(acceleration)), +(weight, +(-1.0, -(myprod(displacement, -1.0), displacement))))), +(mydiv(myprod(+(10.0, +(10.0, horsepower)), -10.0), +(weight, myprod(+(10.0, horsepower), -10.0))), -3.142))))"
cars,9,36.467694901,4.05937151001232,4.5609470310008975,52,52,10,"-(-(mysquare(mysquare(mylog(10.0))), cylinders), mydiv(-(cylinders, +(myprod(mydiv(+(-3.142, mylog(mylog(acceleration))), horsepower), weight), +(mylog(myexp(-(-100.0, -3.142))), mysqrt(+(-100.0, myprod(myprod(-1.571, horsepower), -(1.571, displacement))))))), +(myprod(mydiv(mydiv(myprod(mydiv(cylinders, -(0.0, -100.0)), -100.0), mylog(acceleration)), 1.0), 10.0), cylinders)))"
cars,10,10.343672301,4.695139296606872,4.4058883574856,30,30,10,"-(-(myexp(myprod(mysqrt(mysquare(mylog(10.0))), 1.571)), myprod(mysqrt(cylinders), 1.571)), mydiv(displacement, mysquare(myprod(1.571, myexp(myexp(mydiv(-(+(cylinders, displacement), -10.0), +(-10.0, mysquare(horsepower)))))))))"
cars,11,13.092523,4.499691218055845,4.231244000974269,19,19,9,"myexp(-(mylog(mysqrt(myprod(mydiv(10.0, mydiv(displacement, 1.571)), +(mydiv(-1.0, acceleration), mysqrt(+(100.0, acceleration)))))), -3.142))"
cars,12,26.148686801,5.967027657673568,6.253117812182947,38,38,10,"mylog(+(myexp(+(acceleration, -(mysqrt(mysquare(+(-10.0, -3.142))), cylinders))), +(myprod(myprod(acceleration, myprod(acceleration, acceleration)), -(weight, myprod(acceleration, myprod(acceleration, myprod(acceleration, acceleration))))), myexp(+(acceleration, -(mysqrt(mysquare(+(-10.0, -3.142))), cylinders))))))"
cars,13,35.2572391,4.287295116857587,4.445809409478427,52,52,10,"-(-(+(mylog(10.0), +(10.0, myprod(mysqrt(myprod(displacement, 100.0)), mydiv(-1.571, -(10.0, +(cylinders, displacement)))))), mylog(mysquare(mydiv(mysquare(mydiv(mydiv(displacement, 10.0), mysquare(+(1.571, acceleration)))), mylog(100.0))))), mylog(mysquare(mydiv(mylog(mydiv(myexp(mysqrt(myprod(displacement, 100.0))), myexp(+(cylinders, displacement)))), mylog(mysquare(mylog(mysquare(10.0))))))))"
cars,14,23.325406,5.613802293849864,5.814699710111369,37,37,10,"mysqrt(-(myprod(-(+(-(1.571, mydiv(1.571, mydiv(displacement, -100.0))), 3.142), mysqrt(-(+(-10.0, +(displacement, -1.571)), myexp(myprod(mysquare(-1.571), +(-1.571, 3.142)))))), myexp(3.142)), mydiv(myprod(acceleration, -10.0), mydiv(1.0, mylog(100.0)))))"
cars,15,20.911991999,4.328838322473627,4.476658974575178,31,31,10,"mysquare(+(10.0, -(myprod(myprod(-10.0, -(displacement, mysquare(-(-1.571, -(1.0, acceleration))))), mydiv(myexp(-3.142), mysquare(myprod(mydiv(10.0, cylinders), myprod(mysqrt(1.571), mydiv(horsepower, -10.0)))))), mylog(displacement))))"
cars,16,21.901564301,3.938033324860537,4.66108351525532,33,33,9,"myprod(-10.0, mydiv(mylog(10.0), -(mydiv(10.0, +(+(1.571, +(-(horsepower, cylinders), -10.0)), -3.142)), mylog(+(mydiv(mysquare(-(horsepower, -10.0)), +(myexp(10.0), -100.0)), +(mydiv(cylinders, 3.142), 1.0))))))"
cars,17,30.272712601,4.055848349222146,5.215567571016684,54,54,9,"+(+(+(mydiv(horsepower, myexp(mylog(mysquare(mysquare(acceleration))))), mydiv(horsepower, myprod(myexp(mydiv(horsepower, -100.0)), +(acceleration, myexp(cylinders))))), mydiv(horsepower, +(mysqrt(myexp(acceleration)), +(mydiv(horsepower, +(mydiv(horsepower, acceleration), -10.0)), mydiv(horsepower, +(mydiv(horsepower, acceleration), -10.0)))))), +(mylog(displacement), myexp(myexp(mysqrt(myexp(+(mydiv(horsepower, -100.0), 1.0)))))))"
cars,18,13.621738,4.350200058278548,5.018357539777987,18,18,7,"-(mysquare(3.142), -(mysquare(mylog(horsepower)), -(myexp(3.142), -(mysquare(mylog(horsepower)), +(10.0, myexp(3.142))))))"
cars,19,15.3874734,4.127911633395163,4.094337712930354,28,28,10,"mysqrt(myprod(mylog(mysquare(+(-100.0, +(-100.0, +(-100.0, horsepower))))), mydiv(mysquare(+(-100.0, cylinders)), +(displacement, mydiv(horsepower, mysquare(mysquare(mydiv(myexp(cylinders), myprod(acceleration, 1.571)))))))))"
cars,20,3.7368231,5.411364945677041,6.352047274260271,15,15,6,"mysquare(+(+(mysqrt(acceleration), mydiv(acceleration, -(acceleration, 100.0))), +(0.0, mydiv(100.0, horsepower))))"
cars,21,17.348685201,4.261280243320458,4.1868661110997305,21,21,9,"mysqrt(mysquare(myprod(+(mydiv(-(10.0, 1.0), 3.142), +(1.0, -10.0)), mysquare(mydiv(-100.0, +(-3.142, -(mysqrt(weight), -1.571)))))))"
cars,22,20.8709162,4.211231291760853,4.931852418099831,35,35,9,"mydiv(+(100.0, mydiv(+(100.0, +(100.0, mydiv(100.0, mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower))))), mydiv(mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower)), mydiv(3.142, mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower)))))), cylinders)"
cars,23,17.126182401,4.469460054827095,5.265295701708499,34,34,10,"-(myprod(mydiv(-1.0, cylinders), -100.0), mydiv(-1.0, myprod(mydiv(-1.0, +(+(+(myprod(-1.0, -100.0), -1.0), cylinders), +(myprod(-(+(cylinders, cylinders), acceleration), cylinders), mysquare(mydiv(acceleration, -1.0))))), -(cylinders, horsepower))))"
cars,24,20.3106308,4.653347514771134,4.845084842132359,30,30,10,"-(acceleration, mydiv(myprod(mysquare(10.0), -3.142), mydiv(myprod(cylinders, displacement), mysqrt(-(myprod(displacement, mydiv(myprod(10.0, cylinders), acceleration)), myprod(-(cylinders, mydiv(myexp(3.142), 10.0)), +(-100.0, displacement)))))))"
cars,25,18.619874999,4.495208658583016,4.261705767544713,27,27,9,"-(-(mysquare(-(-3.142, myexp(mylog(-(3.142, mydiv(1.571, -3.142)))))), mysquare(mydiv(mylog(+(displacement, myprod(3.142, -10.0))), mylog(-(3.142, mydiv(1.571, -10.0)))))), cylinders)"
